PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
248.209,-56.721,-82.000
257.547,-56.721,-84.002
266.886,-56.721,-81.604
276.225,-56.721,-81.941
285.564,-56.721,-1000.000
294.902,-56.721,-82.335
304.241,-56.721,-83.045
313.580,-56.721,-83.882
322.919,-56.721,-83.319
332.257,-56.721,-1000.000
248.209,-55.273,-82.574
257.547,-55.273,-1000.000
266.886,-55.273,-82.600
276.225,-55.273,-83.312
285.564,-55.273,-81.822
294.902,-55.273,-82.578
304.241,-55.273,-83.117
313.580,-55.273,-1000.000
322.919,-55.273,-1000.000
332.257,-55.273,-82.660
248.209,-53.826,-83.551
257.547,-53.826,-83.452
266.886,-53.826,-1000.000
276.225,-53.826,-1000.000
285.564,-53.826,-83.385
294.902,-53.826,-82.652
304.241,-53.826,-1000.000
313.580,-53.826,-1000.000
322.919,-53.826,-1000.000
332.257,-53.826,-82.559
248.209,-52.379,-1000.000
257.547,-52.379,-84.218
266.886,-52.379,-81.623
276.225,-52.379,-83.327
285.564,-52.379,-82.447
294.902,-52.379,-1000.000
304.241,-52.379,-82.996
313.580,-52.379,-1000.000
322.919,-52.379,-1000.000
332.257,-52.379,-82.897
248.209,-50.932,-1000.000
257.547,-50.932,-83.502
266.886,-50.932,-82.856
276.225,-50.932,-1000.000
285.564,-50.932,-1000.000
294.902,-50.932,-83.005
304.241,-50.932,-81.769
313.580,-50.932,-82.455
322.919,-50.932,-82.600
332.257,-50.932,-1000.000
248.209,-49.484,-1000.000
257.547,-49.484,-83.987
266.886,-49.484,-1000.000
276.225,-49.484,-1000.000
285.564,-49.484,-1000.000
294.902,-49.484,-82.017
304.241,-49.484,-80.568
313.580,-49.484,-1000.000
322.919,-49.484,-83.713
332.257,-49.484,-83.948
248.209,-48.037,-81.196
257.547,-48.037,-82.135
266.886,-48.037,-1000.000
276.225,-48.037,-1000.000
285.564,-48.037,-82.755
294.902,-48.037,-83.355
304.241,-48.037,-82.944
313.580,-48.037,-1000.000
322.919,-48.037,-83.428
332.257,-48.037,-1000.000
248.209,-46.590,-1000.000
257.547,-46.590,-82.954
266.886,-46.590,-83.178
276.225,-46.590,-83.239
285.564,-46.590,-83.395
294.902,-46.590,-83.460
304.241,-46.590,-1000.000
313.580,-46.590,-1000.000
322.919,-46.590,-1000.000
332.257,-46.590,-1000.000
248.209,-45.142,-1000.000
257.547,-45.142,-1000.000
266.886,-45.142,-82.390
276.225,-45.142,-82.739
285.564,-45.142,-1000.000
294.902,-45.142,-1000.000
304.241,-45.142,-82.379
313.580,-45.142,-1000.000
322.919,-45.142,-82.206
332.257,-45.142,-1000.000
248.209,-43.695,-82.225
257.547,-43.695,-81.178
266.886,-43.695,-1000.000
276.225,-43.695,-1000.000
285.564,-43.695,-1000.000
294.902,-43.695,-82.734
304.241,-43.695,-1000.000
313.580,-43.695,-83.404
322.919,-43.695,-83.817
332.257,-43.695,-84.255
